[2022/05/11 13:04:18][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/252_株式会社 ｗｉｓｈＡＩ_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:21][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/252_株式会社 ｗｉｓｈＡＩ_広島県西部県税事務所（広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:23][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/25_有限会社 成鉄工業_廿日市市役所_課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:25][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/260_医療法人社団 向井眼科_広島市（償却資産・安佐南区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:27][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/286_株式会社 環境開発公社_広島市（償却資産・佐伯区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:29][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/286_株式会社 環境開発公社_広島市（償却資産・西区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:32][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/286_株式会社 環境開発公社_広島県安芸高田市市民部税務課_市民部税務課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:34][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/298_有限会社 郷原呉服堂_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:36][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/298_有限会社 郷原呉服堂_広島県西部県税事務所（広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:39][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/308_大和ホールディングス株式会社_広島市（償却資産・佐伯区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:41][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/327_株式会社 クリーンスタッフ_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:44][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/327_株式会社 クリーンスタッフ_広島県西部県税事務所（広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
